#epoch	dn	rthresh	max_below_thresh_ratio	tp	tn	fp	fn	num_correct	accuracy	total
25	5_yneuron_epoch_25.dn	0.05	0.05	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.05	0.1	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.05	0.15	1	1343	0	294	1344	0.820512820513	1638
25	5_yneuron_epoch_25.dn	0.05	0.2	18	1343	0	277	1361	0.830891330891	1638
25	5_yneuron_epoch_25.dn	0.05	0.25	91	1343	0	204	1432	0.874236874237	1638
25	5_yneuron_epoch_25.dn	0.05	0.3	183	1343	0	112	1516	0.925518925519	1638
25	5_yneuron_epoch_25.dn	0.05	0.35	230	1300	0	108	1517	0.926129426129	1638
25	5_yneuron_epoch_25.dn	0.05	0.4	259	1263	0	116	1508	0.920634920635	1638
25	5_yneuron_epoch_25.dn	0.05	0.45	275	1228	0	135	1488	0.908424908425	1638
25	5_yneuron_epoch_25.dn	0.05	0.5	282	1187	0	169	1454	0.887667887668	1638
25	5_yneuron_epoch_25.dn	0.05	0.6	287	1145	0	206	1417	0.865079365079	1638
25	5_yneuron_epoch_25.dn	0.05	0.7	292	988	0	358	1265	0.772283272283	1638
25	5_yneuron_epoch_25.dn	0.05	0.8	294	639	0	705	918	0.56043956044	1638
25	5_yneuron_epoch_25.dn	0.05	0.9	295	182	0	1161	462	0.282051282051	1638
25	5_yneuron_epoch_25.dn	0.1	0.05	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.1	0.1	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.1	0.15	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.1	0.2	16	1343	0	279	1359	0.82967032967	1638
25	5_yneuron_epoch_25.dn	0.1	0.25	83	1343	0	212	1425	0.869963369963	1638
25	5_yneuron_epoch_25.dn	0.1	0.3	175	1343	0	120	1510	0.921855921856	1638
25	5_yneuron_epoch_25.dn	0.1	0.35	230	1306	0	102	1523	0.929792429792	1638
25	5_yneuron_epoch_25.dn	0.1	0.4	257	1266	0	115	1509	0.921245421245	1638
25	5_yneuron_epoch_25.dn	0.1	0.45	271	1233	0	134	1489	0.909035409035	1638
25	5_yneuron_epoch_25.dn	0.1	0.5	281	1195	0	162	1461	0.891941391941	1638
25	5_yneuron_epoch_25.dn	0.1	0.6	286	1146	0	206	1417	0.865079365079	1638
25	5_yneuron_epoch_25.dn	0.1	0.7	292	997	0	349	1274	0.777777777778	1638
25	5_yneuron_epoch_25.dn	0.1	0.8	294	653	0	691	932	0.568986568987	1638
25	5_yneuron_epoch_25.dn	0.1	0.9	295	187	0	1156	467	0.285103785104	1638
25	5_yneuron_epoch_25.dn	0.15	0.05	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.15	0.1	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.15	0.15	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.15	0.2	15	1343	0	280	1358	0.82905982906	1638
25	5_yneuron_epoch_25.dn	0.15	0.25	76	1343	0	219	1418	0.86568986569	1638
25	5_yneuron_epoch_25.dn	0.15	0.3	167	1343	0	128	1503	0.917582417582	1638
25	5_yneuron_epoch_25.dn	0.15	0.35	228	1315	0	95	1530	0.934065934066	1638
25	5_yneuron_epoch_25.dn	0.15	0.4	255	1270	0	113	1511	0.922466422466	1638
25	5_yneuron_epoch_25.dn	0.15	0.45	269	1243	0	126	1498	0.91452991453	1638
25	5_yneuron_epoch_25.dn	0.15	0.5	281	1200	0	157	1466	0.894993894994	1638
25	5_yneuron_epoch_25.dn	0.15	0.6	286	1150	0	202	1421	0.867521367521	1638
25	5_yneuron_epoch_25.dn	0.15	0.7	292	1012	0	334	1289	0.786935286935	1638
25	5_yneuron_epoch_25.dn	0.15	0.8	294	665	0	679	944	0.576312576313	1638
25	5_yneuron_epoch_25.dn	0.15	0.9	295	196	0	1147	476	0.290598290598	1638
25	5_yneuron_epoch_25.dn	0.2	0.05	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.2	0.1	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.2	0.15	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.2	0.2	12	1343	0	283	1355	0.827228327228	1638
25	5_yneuron_epoch_25.dn	0.2	0.25	67	1343	0	228	1409	0.860195360195	1638
25	5_yneuron_epoch_25.dn	0.2	0.3	155	1343	0	140	1494	0.912087912088	1638
25	5_yneuron_epoch_25.dn	0.2	0.35	226	1323	0	89	1536	0.937728937729	1638
25	5_yneuron_epoch_25.dn	0.2	0.4	252	1273	0	113	1511	0.922466422466	1638
25	5_yneuron_epoch_25.dn	0.2	0.45	269	1247	0	122	1502	0.916971916972	1638
25	5_yneuron_epoch_25.dn	0.2	0.5	281	1208	0	149	1474	0.899877899878	1638
25	5_yneuron_epoch_25.dn	0.2	0.6	286	1153	0	199	1424	0.869352869353	1638
25	5_yneuron_epoch_25.dn	0.2	0.7	292	1021	0	325	1298	0.79242979243	1638
25	5_yneuron_epoch_25.dn	0.2	0.8	294	683	0	661	962	0.587301587302	1638
25	5_yneuron_epoch_25.dn	0.2	0.9	295	199	0	1144	479	0.29242979243	1638
25	5_yneuron_epoch_25.dn	0.25	0.05	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.25	0.1	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.25	0.15	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.25	0.2	7	1343	0	288	1350	0.824175824176	1638
25	5_yneuron_epoch_25.dn	0.25	0.25	63	1343	0	232	1405	0.857753357753	1638
25	5_yneuron_epoch_25.dn	0.25	0.3	144	1343	0	151	1483	0.905372405372	1638
25	5_yneuron_epoch_25.dn	0.25	0.35	223	1328	0	87	1538	0.93894993895	1638
25	5_yneuron_epoch_25.dn	0.25	0.4	249	1276	0	113	1511	0.922466422466	1638
25	5_yneuron_epoch_25.dn	0.25	0.45	269	1250	0	119	1505	0.918803418803	1638
25	5_yneuron_epoch_25.dn	0.25	0.5	279	1214	0	145	1478	0.90231990232	1638
25	5_yneuron_epoch_25.dn	0.25	0.6	286	1153	0	199	1424	0.869352869353	1638
25	5_yneuron_epoch_25.dn	0.25	0.7	292	1035	0	311	1312	0.800976800977	1638
25	5_yneuron_epoch_25.dn	0.25	0.8	294	698	0	646	977	0.596459096459	1638
25	5_yneuron_epoch_25.dn	0.25	0.9	295	212	0	1131	492	0.300366300366	1638
25	5_yneuron_epoch_25.dn	0.3	0.05	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.3	0.1	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.3	0.15	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.3	0.2	6	1343	0	289	1349	0.823565323565	1638
25	5_yneuron_epoch_25.dn	0.3	0.25	59	1343	0	236	1401	0.855311355311	1638
25	5_yneuron_epoch_25.dn	0.3	0.3	142	1343	0	153	1481	0.904151404151	1638
25	5_yneuron_epoch_25.dn	0.3	0.35	218	1331	0	89	1536	0.937728937729	1638
25	5_yneuron_epoch_25.dn	0.3	0.4	246	1281	0	111	1513	0.923687423687	1638
25	5_yneuron_epoch_25.dn	0.3	0.45	265	1251	0	122	1502	0.916971916972	1638
25	5_yneuron_epoch_25.dn	0.3	0.5	275	1220	0	143	1480	0.903540903541	1638
25	5_yneuron_epoch_25.dn	0.3	0.6	286	1157	0	195	1428	0.871794871795	1638
25	5_yneuron_epoch_25.dn	0.3	0.7	292	1046	0	300	1323	0.807692307692	1638
25	5_yneuron_epoch_25.dn	0.3	0.8	294	709	0	635	988	0.603174603175	1638
25	5_yneuron_epoch_25.dn	0.3	0.9	295	219	0	1124	499	0.30463980464	1638
25	5_yneuron_epoch_25.dn	0.35	0.05	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.35	0.1	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.35	0.15	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.35	0.2	5	1343	0	290	1348	0.822954822955	1638
25	5_yneuron_epoch_25.dn	0.35	0.25	47	1343	0	248	1389	0.847985347985	1638
25	5_yneuron_epoch_25.dn	0.35	0.3	132	1343	0	163	1471	0.898046398046	1638
25	5_yneuron_epoch_25.dn	0.35	0.35	210	1335	0	93	1533	0.935897435897	1638
25	5_yneuron_epoch_25.dn	0.35	0.4	244	1282	0	112	1512	0.923076923077	1638
25	5_yneuron_epoch_25.dn	0.35	0.45	264	1257	0	117	1507	0.920024420024	1638
25	5_yneuron_epoch_25.dn	0.35	0.5	274	1227	0	137	1486	0.907203907204	1638
25	5_yneuron_epoch_25.dn	0.35	0.6	286	1161	0	191	1432	0.874236874237	1638
25	5_yneuron_epoch_25.dn	0.35	0.7	292	1049	0	297	1326	0.809523809524	1638
25	5_yneuron_epoch_25.dn	0.35	0.8	294	726	0	618	1005	0.613553113553	1638
25	5_yneuron_epoch_25.dn	0.35	0.9	295	235	0	1108	515	0.314407814408	1638
25	5_yneuron_epoch_25.dn	0.4	0.05	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.4	0.1	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.4	0.15	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.4	0.2	4	1343	0	291	1347	0.822344322344	1638
25	5_yneuron_epoch_25.dn	0.4	0.25	41	1343	0	254	1383	0.844322344322	1638
25	5_yneuron_epoch_25.dn	0.4	0.3	128	1343	0	167	1467	0.895604395604	1638
25	5_yneuron_epoch_25.dn	0.4	0.35	204	1336	0	98	1529	0.933455433455	1638
25	5_yneuron_epoch_25.dn	0.4	0.4	240	1287	0	111	1513	0.923687423687	1638
25	5_yneuron_epoch_25.dn	0.4	0.45	264	1259	0	115	1509	0.921245421245	1638
25	5_yneuron_epoch_25.dn	0.4	0.5	273	1234	0	131	1492	0.910866910867	1638
25	5_yneuron_epoch_25.dn	0.4	0.6	286	1165	0	187	1436	0.876678876679	1638
25	5_yneuron_epoch_25.dn	0.4	0.7	292	1060	0	286	1337	0.816239316239	1638
25	5_yneuron_epoch_25.dn	0.4	0.8	294	746	0	598	1025	0.625763125763	1638
25	5_yneuron_epoch_25.dn	0.4	0.9	295	250	0	1093	530	0.323565323565	1638
25	5_yneuron_epoch_25.dn	0.45	0.05	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.45	0.1	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.45	0.15	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.45	0.2	3	1343	0	292	1346	0.821733821734	1638
25	5_yneuron_epoch_25.dn	0.45	0.25	32	1343	0	263	1375	0.839438339438	1638
25	5_yneuron_epoch_25.dn	0.45	0.3	120	1343	0	175	1460	0.891330891331	1638
25	5_yneuron_epoch_25.dn	0.45	0.35	192	1340	0	106	1521	0.928571428571	1638
25	5_yneuron_epoch_25.dn	0.45	0.4	238	1292	0	108	1516	0.925518925519	1638
25	5_yneuron_epoch_25.dn	0.45	0.45	259	1262	0	117	1507	0.920024420024	1638
25	5_yneuron_epoch_25.dn	0.45	0.5	270	1238	0	130	1494	0.912087912088	1638
25	5_yneuron_epoch_25.dn	0.45	0.6	285	1171	0	182	1441	0.879731379731	1638
25	5_yneuron_epoch_25.dn	0.45	0.7	292	1076	0	270	1353	0.826007326007	1638
25	5_yneuron_epoch_25.dn	0.45	0.8	294	766	0	578	1045	0.637973137973	1638
25	5_yneuron_epoch_25.dn	0.45	0.9	295	265	0	1078	545	0.332722832723	1638
25	5_yneuron_epoch_25.dn	0.5	0.05	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.5	0.1	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.5	0.15	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.5	0.2	3	1343	0	292	1346	0.821733821734	1638
25	5_yneuron_epoch_25.dn	0.5	0.25	29	1343	0	266	1372	0.837606837607	1638
25	5_yneuron_epoch_25.dn	0.5	0.3	111	1343	0	184	1451	0.885836385836	1638
25	5_yneuron_epoch_25.dn	0.5	0.35	184	1342	0	112	1516	0.925518925519	1638
25	5_yneuron_epoch_25.dn	0.5	0.4	233	1296	0	109	1516	0.925518925519	1638
25	5_yneuron_epoch_25.dn	0.5	0.45	259	1267	0	112	1512	0.923076923077	1638
25	5_yneuron_epoch_25.dn	0.5	0.5	270	1243	0	125	1499	0.91514041514	1638
25	5_yneuron_epoch_25.dn	0.5	0.6	285	1173	0	180	1443	0.880952380952	1638
25	5_yneuron_epoch_25.dn	0.5	0.7	291	1087	0	260	1363	0.832112332112	1638
25	5_yneuron_epoch_25.dn	0.5	0.8	293	782	0	563	1060	0.647130647131	1638
25	5_yneuron_epoch_25.dn	0.5	0.9	295	277	0	1066	557	0.340048840049	1638
25	5_yneuron_epoch_25.dn	0.6	0.05	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.6	0.1	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.6	0.15	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.6	0.2	2	1343	0	293	1345	0.821123321123	1638
25	5_yneuron_epoch_25.dn	0.6	0.25	21	1343	0	274	1364	0.832722832723	1638
25	5_yneuron_epoch_25.dn	0.6	0.3	94	1343	0	201	1435	0.876068376068	1638
25	5_yneuron_epoch_25.dn	0.6	0.35	166	1343	0	129	1503	0.917582417582	1638
25	5_yneuron_epoch_25.dn	0.6	0.4	225	1311	0	102	1523	0.929792429792	1638
25	5_yneuron_epoch_25.dn	0.6	0.45	254	1275	0	109	1515	0.924908424908	1638
25	5_yneuron_epoch_25.dn	0.6	0.5	267	1255	0	116	1508	0.920634920635	1638
25	5_yneuron_epoch_25.dn	0.6	0.6	284	1181	0	173	1450	0.885225885226	1638
25	5_yneuron_epoch_25.dn	0.6	0.7	289	1107	0	242	1381	0.843101343101	1638
25	5_yneuron_epoch_25.dn	0.6	0.8	293	823	0	522	1101	0.672161172161	1638
25	5_yneuron_epoch_25.dn	0.6	0.9	295	307	0	1036	587	0.358363858364	1638
25	5_yneuron_epoch_25.dn	0.7	0.05	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.7	0.1	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.7	0.15	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.7	0.2	2	1343	0	293	1345	0.821123321123	1638
25	5_yneuron_epoch_25.dn	0.7	0.25	15	1343	0	280	1358	0.82905982906	1638
25	5_yneuron_epoch_25.dn	0.7	0.3	68	1343	0	227	1410	0.860805860806	1638
25	5_yneuron_epoch_25.dn	0.7	0.35	146	1343	0	149	1485	0.906593406593	1638
25	5_yneuron_epoch_25.dn	0.7	0.4	214	1322	0	102	1523	0.929792429792	1638
25	5_yneuron_epoch_25.dn	0.7	0.45	245	1283	0	110	1514	0.924297924298	1638
25	5_yneuron_epoch_25.dn	0.7	0.5	265	1260	0	113	1511	0.922466422466	1638
25	5_yneuron_epoch_25.dn	0.7	0.6	279	1193	0	166	1457	0.889499389499	1638
25	5_yneuron_epoch_25.dn	0.7	0.7	286	1128	0	224	1399	0.85409035409	1638
25	5_yneuron_epoch_25.dn	0.7	0.8	293	858	0	487	1136	0.693528693529	1638
25	5_yneuron_epoch_25.dn	0.7	0.9	295	341	0	1002	621	0.379120879121	1638
25	5_yneuron_epoch_25.dn	0.8	0.05	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.8	0.1	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.8	0.15	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.8	0.2	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.8	0.25	6	1343	0	289	1349	0.823565323565	1638
25	5_yneuron_epoch_25.dn	0.8	0.3	49	1343	0	246	1391	0.849206349206	1638
25	5_yneuron_epoch_25.dn	0.8	0.35	134	1343	0	161	1473	0.899267399267	1638
25	5_yneuron_epoch_25.dn	0.8	0.4	205	1332	0	101	1524	0.930402930403	1638
25	5_yneuron_epoch_25.dn	0.8	0.45	235	1291	0	112	1512	0.923076923077	1638
25	5_yneuron_epoch_25.dn	0.8	0.5	262	1266	0	110	1514	0.924297924298	1638
25	5_yneuron_epoch_25.dn	0.8	0.6	277	1217	0	144	1479	0.90293040293	1638
25	5_yneuron_epoch_25.dn	0.8	0.7	285	1141	0	212	1411	0.861416361416	1638
25	5_yneuron_epoch_25.dn	0.8	0.8	293	889	0	456	1167	0.712454212454	1638
25	5_yneuron_epoch_25.dn	0.8	0.9	295	389	0	954	669	0.408424908425	1638
25	5_yneuron_epoch_25.dn	0.9	0.05	0	1343	0	295	1343	0.819902319902	1638
25	5_yneuron_epoch_25.dn	0.9	0.1	0	1343	0	295	1343	0.819902319902	1638
